01	AA	9	3	0.333333	1	0.333333	3	0.135155	0.27031
01	BB	9	2	0.222222	1	0.222222	3	0.0901033	0.199542
01	CC	9	1	0.111111	1	0.111111	3	0.0450516	0.110361
01	DD	9	1	0.111111	1	0.111111	3	0.0450516	0.110361
01	EE	9	1	0.111111	2	0.277778	3	0	0.0948321
01	FF	9	1	0.111111	2	0.444444	3	0	0.0812097
02	EE	6	1	0.166667	2	0.277778	3	0	0.142249
02	FF	6	2	0.333333	2	0.444444	3	0	0.243629
02	GG	6	2	0.333333	2	0.666666	3	0	0.195929
02	HH	6	1	0.166667	2	0.5	3	0	0.115525
03	GG	3	1	0.333333	2	0.666666	3	0	0.195929
03	HH	3	1	0.333333	2	0.5	3	0	0.231049
03	II	3	1	0.333333	1	0.333333	3	0.135155	0.27031
